Service Suite Landing Page,dxp,/Service Data Analytics/IB Intel/Analysis,/Service Data Analytics/
IL_SR_ACTIVITY_DETAILS,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
OPH-One Product Hierarchy,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Approved Spotfire Information Links/
Region Hierarchy,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Approved Spotfire Information Links/
IL_SERVICE_DELIVERY_WORKFORCE_DEPLOYMENT_SR_ACTIVITY_DETAILS,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Service Suite/Service Delivery/Workforce Deployment/Information Links/
Item Master,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Approved Spotfire Information Links/
IL_RELIABILITY_TPFR_DETAILS,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Service Suite/Reliability/TPFR/Information Links/
srv_elf_relblty_cds_elf_f,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project X Reliability/Information Link/
IFR_IB_INCOMING,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IFR_IB_OUTGOING,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
ifr_snapshot_ib_data,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
ifr_snapshot_sr_data,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
ifr_snapshot_summary_new,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IFR_SR_INCOMING,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IFR_SR_OUTGOING,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
SR By Part,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Approved Spotfire Information Links/
IL_SERVICE_DELIVERY_FCR_SR_ACTIVITY_DETAILS,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Service Suite/Service Delivery/FCR/Information Links/
IL_SERVICE_DELIVERY_FCR_SR_SDO_CDS,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Service Suite/Service Delivery/FCR/Information Links/
IL_SERVICE_DELIVERY_FCR_SR_SUMMARY,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Service Suite/Service Delivery/FCR/Information Links/
IL_SR_SUMMARY,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
CHU Summary from SR Summary V 2019 09 23,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project X Reliability/Information Link/
Employee Hierarchy,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Approved Spotfire Information Links/
IL_ASSET_SWAP_DETAILS,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project X Reliability/Information Link/
IL_SO_Tube,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project X Reliability/Information Link/
IL_srv_sr_part_matl_consump_cds_summ_f,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IL_LLFRU_DETAIL,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
DRM Cost Center Hierarchy_V1,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Approved Spotfire Information Links/
ACTION LOG,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Usage Data/Information Link/
Assets V2019 10 15,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project X Reliability/Information Link/
Service Request(IFR),query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project X Reliability/Information Link/
srv_sr_ifr_metrcs_sum_f_v_IL_V2,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project X Reliability/Information Link/
srv_sr_ifr_metrics_f_IL,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project X Reliability/Information Link/
IL_SRV_Asset_CDS_Snap_F_V,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IL_SRV_SR_COST_SUMMARY_F,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IL_CDS_SystemCharts(Grouped),query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
CTS2.0 IB List V2,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IL_CTS_2.0,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IL_Service_Cost_System_Charts_by_Activity_SR_Details,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IL_USCAN_PURCHASED_SERVICES,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IL_SR_Exclusions_Summary,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IL_SERVICE_DELIVERY_FIELD_EXPERIENCE_ASSET_SUMM_CTR,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Service Suite/Service Delivery/Field Experience/Information Links/
IL_SERVICE_DELIVERY_FIELD_EXPERIENCE_SR_SUMMARY_CTR,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Service Suite/Service Delivery/Field Experience/Information Links/
IL_SERVICE_DELIVERY_FIELD_EXPERIENCE_SR_SUMMARY_TTR_FRFT,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Service Suite/Service Delivery/Field Experience/Information Links/
IL_SR_ACTIVITY_DETAILS_LITE,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
srv_sr_elf_metrcs_sum_f,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project X Reliability/Information Link/
IL_Devonway,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IL_SERVICE_SUITE_DATA_QUALITY_METER,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IL_service_suite_data_quality_meter_email_notification,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Project-X CTS/Metadata/Information Links/
IL_IB History V4,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Approved Spotfire Information Links/
IL_SERVICE_COSTS_FMI_SR_SUMM,query,/Service Data Analytics/Service Request/Information Links/,/Service Data Analytics/Service Suite/Service Costs/FMI/Information Links/ 
item_master_d - inv_gems_mmicv_itm_cst_f  Inner Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Service Request/Joins/
item_master_d - srv_elf_relblty_cds_dtl_f  Inner Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Service Request/Joins/
item_master_d - srv_part_supplr_d  Inner Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Service Request/Joins/
new_srv_elf_relblty_cds_dtl_f - prd_oph_main_hier_d_v  Left Outer Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Project X Reliability/Joins/
srv_elf_relblty_cds_dtl_f - gl_cost_center_country_hier  Left Outer Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Project X Reliability/Joins/
srv_sr_activty_cds_dtl_f_v - srv_sr_activty_cds_summ_f_v  Inner Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Service Suite/Service Delivery/FCR/Joins/
srv_sr_activty_cds_summ_f_v - srv_sr_activty_cds_dtl_f_sdo  Inner Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Service Suite/Service Delivery/FCR/Joins/
gl_es_segmnt4_dh1 - srv_sr_ifr_metrcs_sum_f  Inner Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Project X Reliability/Joins/
new srv_sr_ifr_metrcs_f - prd_oph_main_hier_d_v  Left Outer Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Project X Reliability/Joins/
new_srv_sr_ifr_metrcs_sum_f - prd_oph_main_hier_d_v  Left Outer Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Project X Reliability/Joins/
srv_sr_ifr_metrcs_f - gl_es_segmnt4_dh1  Inner Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Project X Reliability/Joins/
srv_sr_activty_cds_dtl_f_v - gl_cost_center_country_hier  Left Outer Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Project-X CTS/Metadata/Join Elements/
srv_sr_activty_cds_dtl_f_v - prd_oph_main_hier_d_v  Left Outer Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Project-X CTS/Metadata/Join Elements/
srv_asset_cds_snap_f_curr_s2_v - gl_cost_center_country_hier  Inner Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Service Suite/Service Delivery/Field Experience/Joins/
srv_asset_cds_snap_f_curr_s2_v - prd_oph_main_hier_d_v  Inner Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Service Suite/Service Delivery/Field Experience/Joins/
new_srv_sr_elf_metrcs_sum_f - prd_oph_main_hier_d_v  Left Outer Join,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Project X Reliability/Joins/
srv_sr_elf_metrcs_sum_f - gl_cost_center_country_hier,join,/Service Data Analytics/Service Request/Joins/,/Service Data Analytics/Project X Reliability/Joins/
srv_elf_relblty_cds_dtl_f,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project X Reliability/Columns/
srv_asset_cds_snap_f_curr_s2_v,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project-X CTS/Metadata/Columns/
CL_SR_CDS_VIEW,all_items,/Service Data Analytics/Service Request/Columns/,/Service Data Analytics/Project-X CTS/Metadata/Columns/
